office,state,winner,dem_diff,dem_share,dem_share_2p,candidates
P,AZ,Biden,0.003,0.494,0.5015228426395939,BIDEN|TRUMP
P,FL,Trump,-0.034,0.479,0.48335015136226034,BIDEN|TRUMP
P,GA,Biden,0.003,0.495,0.5010121457489879,BIDEN|TRUMP
P,IA,Trump,-0.08199999999999999,0.449,0.45816326530612245,BIDEN|TRUMP
P,ME2,Trump,-0.079,0.447,0.4589322381930185,BIDEN|TRUMP
P,MI,Biden,0.027999999999999997,0.506,0.5142276422764228,BIDEN|TRUMP
P,MN,Biden,0.071,0.524,0.5363357215967247,BIDEN|TRUMP
P,NE2,Biden,0.069,0.524,0.5352400408580184,BIDEN|TRUMP
P,NV,Biden,0.024,0.501,0.5122699386503068,BIDEN|TRUMP
P,NH,Biden,0.07400000000000001,0.527,0.5372069317023446,BIDEN|TRUMP
P,NC,Trump,-0.013000000000000001,0.486,0.4934010152284264,BIDEN|TRUMP
P,OH,Trump,-0.08,0.45299999999999996,0.4594320486815416,BIDEN|TRUMP
P,PA,Biden,0.012,0.5,0.5060728744939271,BIDEN|TRUMP
P,TX,Trump,-0.055999999999999994,0.465,0.47160243407707914,BIDEN|TRUMP
P,WI,Biden,0.006,0.494,0.5030549898167006,BIDEN|TRUMP
P,AL,Trump,-0.256,0.365,0.37018255578093306,BIDEN|TRUMP
P,AK,Trump,-0.1,0.428,0.4476987447698745,BIDEN|TRUMP
P,AR,Trump,-0.276,0.348,0.35802469135802467,BIDEN|TRUMP
P,CA,Biden,0.293,0.636,0.6496424923391215,BIDEN|TRUMP
P,CO,Biden,0.135,0.5539999999999999,0.5693730729701952,BIDEN|TRUMP
P,CT,Biden,0.2,0.5920000000000001,0.6016260162601627,BIDEN|TRUMP
P,DE,Biden,0.19,0.5870000000000001,0.5959390862944163,BIDEN|TRUMP
P,DC,Biden,0.868,0.9209999999999999,0.9446153846153845,BIDEN|TRUMP
P,HI,Biden,0.295,0.637,0.65,BIDEN|TRUMP
P,ID,Trump,-0.308,0.331,0.34123711340206186,BIDEN|TRUMP
P,IL,Biden,0.17,0.575,0.586734693877551,BIDEN|TRUMP
P,IN,Trump,-0.161,0.41,0.4183673469387755,BIDEN|TRUMP
P,KS,Trump,-0.151,0.413,0.4222903885480572,BIDEN|TRUMP
P,KY,Trump,-0.259,0.36200000000000004,0.36826042726347913,BIDEN|TRUMP
P,LA,Trump,-0.18600000000000003,0.39899999999999997,0.40548780487804875,BIDEN|TRUMP
P,ME,Biden,0.087,0.529,0.544799176107106,BIDEN|TRUMP
P,ME1,Biden,0.22699999999999998,0.599,0.6168898043254376,BIDEN|TRUMP
P,MD,Biden,0.331,0.653,0.6697435897435897,BIDEN|TRUMP
P,MA,Biden,0.331,0.654,0.6687116564417178,BIDEN|TRUMP
P,MS,Trump,-0.165,0.41100000000000003,0.41641337386018235,BIDEN|TRUMP
P,MO,Trump,-0.154,0.414,0.4220183486238531,BIDEN|TRUMP
P,MT,Trump,-0.16399999999999998,0.406,0.4164102564102565,BIDEN|TRUMP
P,NE,Trump,-0.191,0.39399999999999996,0.40245148110316653,BIDEN|TRUMP
P,NE1,Trump,-0.15,0.413,0.4227226202661208,BIDEN|TRUMP
P,NE3,Trump,-0.532,0.22399999999999998,0.22857142857142856,BIDEN|TRUMP
P,NJ,Biden,0.159,0.5720000000000001,0.5807106598984771,BIDEN|TRUMP
P,NM,Biden,0.10800000000000001,0.5429999999999999,0.5552147239263803,BIDEN|TRUMP
P,NY,Biden,0.149,0.568,0.5754812563323202,BIDEN|TRUMP
P,ND,Trump,-0.33399999999999996,0.318,0.32817337461300317,BIDEN|TRUMP
P,OK,Trump,-0.331,0.32299999999999995,0.330603889457523,BIDEN|TRUMP
P,OR,Biden,0.161,0.565,0.5830753353973168,BIDEN|TRUMP
P,RI,Biden,0.20800000000000002,0.594,0.6061224489795918,BIDEN|TRUMP
P,SC,Trump,-0.11699999999999999,0.434,0.44060913705583754,BIDEN|TRUMP
P,SD,Trump,-0.262,0.35600000000000004,0.36550308008213556,BIDEN|TRUMP
P,TN,Trump,-0.233,0.374,0.381243628950051,BIDEN|TRUMP
P,UT,Trump,-0.205,0.377,0.3931178310740354,BIDEN|TRUMP
P,VT,Biden,0.354,0.6609999999999999,0.6828512396694214,BIDEN|TRUMP
P,VA,Biden,0.10099999999999999,0.541,0.5514780835881753,BIDEN|TRUMP
P,WA,Biden,0.192,0.58,0.5991735537190083,BIDEN|TRUMP
P,WV,Trump,-0.389,0.297,0.3021363173957274,BIDEN|TRUMP
P,WY,Trump,-0.434,0.266,0.27564766839378235,BIDEN|TRUMP
